community_id,size,mean_sentiment,sentiment_variance,polarization_morales,ECE,AOD,assortativity_sign,modularity_local
65,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
162,4,0.0,0.0,0.0,0.0,0.0,0.0,1.156945432513805e-05
187,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
278,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
355,5,0.0,0.0,0.0,0.0,0.0,0.0,1.735408109617907e-05
389,32,0.0,0.0,0.0,0.0,0.0,0.0,9.254813870034706e-05
403,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
503,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
556,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
560,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
561,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
628,5,0.0,0.0,0.0,0.0,0.0,0.0,1.156945432513805e-05
666,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
758,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
778,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
843,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
864,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
900,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
940,6,0.0,0.0,0.0,0.0,0.0,0.0,2.3138640939534764e-05
942,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
984,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1005,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1036,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1124,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1202,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1301,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1306,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
1320,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1337,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1423,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1461,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
1480,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1523,3,0.0,0.0,0.0,0.0,0.0,0.0,5.784760626411691e-06
1592,5,0.0,0.0,0.0,0.0,0.0,0.0,1.156945432513805e-05
1643,4,0.0,0.0,0.0,0.0,0.0,0.0,8.677115841735537e-06
1654,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0246369383817586e-05
